"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2018","2,515.43","2,517.19","2,521.97","2,506.49","336.71M","-0.25%"
"Jan 16, 2018","2,521.74","2,504.16","2,524.55","2,498.55","341.61M","0.72%"
"Jan 15, 2018","2,503.73","2,510.97","2,513.30","2,496.18","404.55K","0.29%"
"Jan 12, 2018","2,496.42","2,499.87","2,500.87","2,482.15","438.78K","0.34%"
"Jan 11, 2018","2,487.91","2,496.86","2,502.52","2,483.82","444.34K","-0.47%"
"Jan 10, 2018","2,499.75","2,516.33","2,516.82","2,493.98","444.02K","-0.42%"
"Jan 09, 2018","2,510.23","2,510.73","2,524.73","2,498.41","374.32K","-0.12%"
"Jan 08, 2018","2,513.28","2,510.70","2,515.37","2,494.18","311.43K","0.63%"
"Jan 05, 2018","2,497.52","2,476.85","2,497.52","2,475.51","308.77K","1.26%"
"Jan 04, 2018","2,466.46","2,502.50","2,502.50","2,466.45","333.84K","-0.80%"
"Jan 03, 2018","2,486.35","2,484.63","2,493.40","2,481.91","331.09K","0.27%"
"Jan 02, 2018","2,479.65","2,474.86","2,481.02","2,465.94","262.21K","0.49%"
"Dec 28, 2017","2,467.49","2,439.31","2,467.51","2,437.26","220.34K","1.26%"
"Dec 27, 2017","2,436.67","2,420.86","2,436.68","2,411.48","194.85K","0.38%"
"Dec 26, 2017","2,427.34","2,447.67","2,457.19","2,427.34","224.64K","-0.54%"
"Dec 22, 2017","2,440.54","2,437.59","2,444.57","2,426.94","230.41K","0.44%"
"Dec 21, 2017","2,429.83","2,471.34","2,471.73","2,429.83","247.33K","-1.72%"
"Dec 20, 2017","2,472.37","2,473.82","2,484.50","2,470.62","236.18K","-0.25%"
"Dec 19, 2017","2,478.53","2,487.83","2,498.67","2,470.49","308.39K","-0.13%"
"Dec 18, 2017","2,481.88","2,488.83","2,488.83","2,477.29","322.77K","-0.01%"
"Dec 15, 2017","2,482.07","2,488.39","2,495.08","2,475.99","340.76K","0.51%"
"Dec 14, 2017","2,469.48","2,486.57","2,514.61","2,469.48","317.79K","-0.45%"
"Dec 13, 2017","2,480.55","2,462.42","2,481.92","2,457.70","254.95K","0.79%"
"Dec 12, 2017","2,461.00","2,471.23","2,471.43","2,455.39","281.19K","-0.42%"
"Dec 11, 2017","2,471.49","2,467.81","2,471.99","2,457.98","240.14K","0.30%"
"Dec 08, 2017","2,464.00","2,470.09","2,473.17","2,459.02","406.38K","0.08%"
"Dec 07, 2017","2,461.98","2,479.55","2,480.85","2,452.40","404.85K","-0.50%"
"Dec 06, 2017","2,474.37","2,510.19","2,510.47","2,474.29","507.62K","-1.42%"
"Dec 05, 2017","2,510.12","2,490.73","2,513.68","2,487.15","395.43K","0.34%"
"Dec 04, 2017","2,501.67","2,486.72","2,501.67","2,476.29","323.85K","1.06%"
"Dec 01, 2017","2,475.41","2,488.92","2,488.92","2,472.75","288.57K","-0.04%"
"Nov 30, 2017","2,476.37","2,502.22","2,506.32","2,474.28","339.02K","-1.45%"
"Nov 29, 2017","2,512.90","2,517.26","2,524.41","2,508.66","301.21K","-0.05%"
"Nov 28, 2017","2,514.19","2,512.52","2,521.06","2,500.93","348.24K","0.25%"
"Nov 27, 2017","2,507.81","2,544.74","2,546.71","2,506.69","284.89K","-1.44%"
"Nov 24, 2017","2,544.33","2,539.79","2,544.33","2,533.98","297.94K","0.28%"
"Nov 23, 2017","2,537.15","2,542.34","2,544.58","2,532.45","391.29K","-0.13%"
"Nov 22, 2017","2,540.51","2,546.61","2,553.22","2,535.19","485.67K","0.39%"
"Nov 21, 2017","2,530.70","2,533.85","2,539.88","2,525.96","484.89K","0.12%"
"Nov 20, 2017","2,527.67","2,536.80","2,542.62","2,523.52","404.26K","-0.25%"
"Nov 17, 2017","2,533.99","2,546.05","2,559.10","2,533.99","362.19K","-0.03%"
"Nov 16, 2017","2,534.79","2,522.42","2,538.28","2,514.51","302.93K","0.66%"
"Nov 15, 2017","2,518.25","2,525.60","2,526.61","2,511.76","398.22K","-0.33%"
"Nov 14, 2017","2,526.64","2,532.55","2,532.95","2,520.99","287.77K","-0.15%"
"Nov 13, 2017","2,530.35","2,548.27","2,552.28","2,527.20","266.53K","-0.50%"
"Nov 10, 2017","2,542.95","2,541.18","2,547.61","2,534.60","291.53K","-0.30%"
"Nov 09, 2017","2,550.57","2,559.93","2,559.93","2,536.54","293.54K","-0.07%"
"Nov 08, 2017","2,552.40","2,534.48","2,558.74","2,533.73","277.04K","0.27%"
"Nov 07, 2017","2,545.44","2,548.30","2,554.13","2,540.67","253.92K","-0.16%"
"Nov 06, 2017","2,549.41","2,557.29","2,559.90","2,529.94","221.19K","-0.33%"
"Nov 03, 2017","2,557.97","2,558.37","2,558.37","2,539.72","292.77K","0.46%"
"Nov 02, 2017","2,546.36","2,560.34","2,561.63","2,542.02","527.73K","-0.40%"
"Nov 01, 2017","2,556.47","2,535.97","2,556.47","2,535.83","361.80K","1.31%"
"Oct 31, 2017","2,523.43","2,500.21","2,528.32","2,498.05","313.79K","0.86%"
"Oct 30, 2017","2,501.93","2,513.87","2,513.87","2,497.42","342.01K","0.21%"
"Oct 27, 2017","2,496.63","2,485.44","2,499.15","2,479.67","511.23K","0.64%"
"Oct 26, 2017","2,480.63","2,489.60","2,495.99","2,480.63","646.88K","-0.48%"
"Oct 25, 2017","2,492.50","2,495.87","2,497.41","2,481.48","599.43K","0.08%"
"Oct 24, 2017","2,490.49","2,489.31","2,497.35","2,487.17","232.01K","0.02%"
"Oct 23, 2017","2,490.05","2,497.65","2,500.33","2,485.48","274.20K","0.02%"
"Oct 20, 2017","2,489.54","2,477.30","2,489.54","2,476.88","313.21K","0.67%"
"Oct 19, 2017","2,473.06","2,485.72","2,490.94","2,468.67","236.63K","-0.40%"
"Oct 18, 2017","2,482.91","2,481.53","2,490.58","2,475.67","244.25K","-0.06%"
"Oct 17, 2017","2,484.37","2,484.96","2,487.88","2,478.76","199.05K","0.17%"
"Oct 16, 2017","2,480.05","2,483.17","2,487.71","2,470.24","224.41K","0.26%"
"Oct 13, 2017","2,473.62","2,473.65","2,479.73","2,468.14","234.80K","-0.05%"
"Oct 12, 2017","2,474.76","2,461.70","2,474.76","2,459.48","256.21K","0.68%"
"Oct 11, 2017","2,458.16","2,442.49","2,458.16","2,439.81","201.77K","1.00%"
"Oct 10, 2017","2,433.81","2,425.63","2,443.20","2,421.10","221.74K","1.64%"
"Sep 29, 2017","2,394.47","2,378.66","2,394.47","2,378.66","184.19K","0.90%"
"Sep 28, 2017","2,373.14","2,374.10","2,379.54","2,365.67","194.77K","0.02%"
"Sep 27, 2017","2,372.57","2,376.89","2,377.18","2,368.92","202.62K","-0.07%"
"Sep 26, 2017","2,374.32","2,371.62","2,381.31","2,365.34","319.12K","-0.26%"
"Sep 25, 2017","2,380.40","2,388.77","2,392.44","2,374.69","339.35K","-0.35%"
"Sep 22, 2017","2,388.71","2,404.35","2,409.30","2,381.81","333.62K","-0.74%"
"Sep 21, 2017","2,406.50","2,412.01","2,415.13","2,401.89","335.34K","-0.24%"
"Sep 20, 2017","2,412.20","2,420.82","2,429.12","2,405.78","303.29K","-0.16%"
"Sep 19, 2017","2,416.05","2,419.30","2,422.05","2,411.68","254.59K","-0.09%"
"Sep 18, 2017","2,418.21","2,390.58","2,418.24","2,389.65","273.48K","1.35%"
