Genes,Feature1,Feature2,Feature3,Feature4
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'ATP7A',12.662,-0.093281,-0.24657,0.18484
'EGFR',39.611,0.60579,0.21007,0.15954
'HDAC9',-20.402,0.3869,-0.071183,0.17031
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP3',45.26,-1.8444,-1.9016,-1.5034
'CASP7',46.061,-1.2777,-1.18,-0.22923
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'CASP8',30.308,-0.81441,-0.39112,0.18358
'DIABLO',48.334,0.26118,0.058244,0.073618
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BAK1',45.249,0.55958,0.22372,1.3246
'BAX',52.291,0.86985,0.52212,2.4027
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'BCL2L11',44.405,-0.16371,-0.16484,0.91021
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'BAK1',45.249,0.55958,0.22372,1.3246
'BAX',52.291,0.86985,0.52212,2.4027
'EGFR',39.611,0.60579,0.21007,0.15954
'BRAF',-7.8237,-0.41688,-0.25394,-0.6219
'DDR2',-56.904,3.2656,2.7826,-0.029601
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'AK1',45.066,0.35883,-0.19364,-0.16472
'AKT2',68.897,1.3669,1.2447,2.6536
'AKT3',-1.4467,2.8093,2.3518,0.026996
'CNTNAP1',-8.081,0.2501,-0.019702,0.090034
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGF',-78.078,-1.1201,-1.5425,-1.1984
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'EGFR',39.611,0.60579,0.21007,0.15954
'CD177',-50.287,0.030425,-0.13587,-0.17048
'CD177',-50.287,0.030425,-0.13587,-0.17048
'BTG2',65.037,2.9335,2.4652,0.078716
'BTG2',65.037,2.9335,2.4652,0.078716
'BTG2',65.037,2.9335,2.4652,0.078716
'BTG2',65.037,2.9335,2.4652,0.078716
'AXIN1',48.394,0.22346,-0.10539,-0.47563
'ATM',30.666,-3.3485,-3.2424,1.8297
'NLRP2',0.44587,1.0369,0.8416,2.8412
'MRE11A',26.098,-1.9984,-2.2435,2.5621
'NLRP2',0.44587,1.0369,0.8416,2.8412
